Algo,K,Precision@k,Recall@k,NDCG@k,MAP,Diversity,Hit@k
Random,10,0.00058,0.00037,0.00061,0.00011,0.99842,0.00584
Random,25,0.00064,0.00102,0.00086,0.00015,0.99841,0.01593
Random,50,0.00065,0.00207,0.00136,0.00018,0.99841,0.03223
NMF,10,0.0005,0.00033,0.00047,0.00008,0.99904,0.00193
NMF,25,0.00045,0.00074,0.00061,0.00011,0.99898,0.00626
NMF,50,0.00049,0.0016,0.00102,0.00013,0.99797,0.01412
BPR,10,0.08643,0.05548,0.09655,0.02923,0.81222,0.44442
BPR,25,0.06475,0.10368,0.1035,0.03856,0.85122,0.62534
BPR,50,0.0501,0.1606,0.12979,0.0451,0.87967,0.76218
ALS,10,0.07494,0.05088,0.07950,0.03692,0.84414,0.39781
ALS,25,0.05988,0.10087,0.09309,0.03462,0.87813,0.59861
ALS,50,0.04808,0.16058,0.12123,0.04065,0.90375,0.75356
AutoE,10,0.01152,0.00821,0.00871,0.00347,0.08359,0.09120
AutoE,25,0.00905,0.01595,0.01175,0.00422,0.10384,0.16163
AutoE,50,0.00768,0.02596,0.01547,0.00473,0.12326,0.24186
NonE,10,0.01196,0.00851,0.00923,0.00368,0.09503,0.09334
NonE,25,0.00943,0.01658,0.01233,0.00447,0.11721,0.16655
NonE,50,0.00805,0.02708,0.01623,0.00501,0.13847,0.25257
